data;


param h:=
1  4.5
2  4.5
3  4.5
4  4.5
5  4.5
6  4.5
7  4.5
8  4.5
9  4.5
10 4.5
11 4.5
12 4.5
13 4.5
14 5.4
15 1.5
16 3
17 8
18 4.5
19 4.5
20 6.4
21 3
22 3
;

param w:=
1  5.5
2  5.5
3  2.75
4  3.95
5  2.4
6  3.6
7  3.6
8  3.6
9  2.75
10 5.5
11 2.75
12 4.5
13 4.5
14 11
15 9.1
16 9.1
17 12
18 12
19 11
20 13.6
21 3
22 3
;

param A:=
1   24.75
2   20.25
3   12.375
4   17.775
5   10.8
6   16.2
7   16.2
8   16.2
9   12.375
10  24.75
11  12.375
12  20.25
13  20.25
14  59.4
15  13.65
16  27.3
17  96
18  54
19  49.5
20  87.04
21  9
22  9
;


param C:  
	1	    2	    3	    4	    5     	6	  7	    8	   9	    10	  11   	12	   13	  14  	15	   16	    17	  18  	19   	20:=
1	0	  287	  223	  688    	961  	5684  229 10908	 5797	 0	  0	    0	 2133    	0	 27751	0 	    0 	1878 	0	    0
2	287	   22	    0	    0	      0        0   	0	 0   	0	 958  170	4	 0	        0	    0	954	    0	 0	    20	 18
3	223	    0	  498	    0	      0	       0   	0	 0	    0	 184  	0	0	 0	        2	    0	3177    0    0	    44	632
4	688	    0	    0	 2694         0	       0	    0	 0	    0	 1360	116	0	 0	       16	    0    7882	20	0    1878	1298
5	961	    0	    0	    0	   309	      0	    0	 0    	1	  262	12	0	 0	       10	    0	 2732	0	0	  102	606
6	5684	    0	    0	    0	    0	     9	    0	 0	    0	    0 6122	2	0	        0	    0	  23782 	2	4	  3792	9162
7	229	    0	    0	    0	    0	    0	    0	 0	    0	    0	82	2	0	        0	    0	  1882	0	0	  1550	12
8	10908	0	    0	    0	    0	    0	    0	 2	    8	 29186 2416 	0   0	        7 	    0 	  42851 26	4	  0 	   15380
9	 5797	0	    0	    0	    1	    0	    0	 8	   2299	  2298	554	0	0	      246	    0	 18938	42	0	544	 17162
10	0	  958	  184	  1360   	262   	0	    0  29186	  2298   	300	0	0 1938	      0	    57678	150   	0 1992	 0	   0
11	0	  170     	0	  116	   12	  6122   	82   2416	554	    0	0	0	224      0	      7613	  0    	0	322	 0	   0
12	0	   4  	    0	    0	    0	    2	    2	   0  	0	    0	0	0	0	    0	       0      1	    0	0	 0	   0
13	2133	   0      	0	    0	    0	    0	    0	    0	 0	  1938	224	0	2	    0	       0	     5934	0	0	 0	 726
14	0	   0      	2	   16	   10	    0	    0	    7	246   	0	0	0	0	    0	       0    	1	    0	0	 0	  0
15	27751  0      	0	    0	    0	    0	    0	    0	0	57678 7613	0	0	    0	       0	   129011	0	2	 53150  16314
16	0	 954 	3177 	 7882	  2732	 23782 	 1882 	 42851 18938  150   0	1	 5934	1	   129011	    0	0	4904 	0	0
17	0	    0	    0	   20	    0	    2	    0	    26	 42  	0	0	0	0	    0	     0	        0	0	0	    0	0
18	1878	    0	    0	    0	    0	    4	    0	    4	 0	  1992	322	0	0	    0	     2	     4904	0	52	   326	222
19	0	   20	   44	  1878   	102	  3792  	 1550	    0	544	    0	0	0	0	    0	    53150	   0 	0	326	    0	0
20	0	   18	  632	  1298 	    606	  9162	   12	 15380	 17162	0	0	0	726	    0	    16314	    0	0	222   	0	0
;

